id,nameCol,nameAlt,frac_1,frac_2,frac_3,frac_4,frac_5,frac_6,frac_7,frac_8
nta,SoHo-Little Italy-Hudson Square,MN0201,0.06931494176387787,0.01087177637964487,0,0.009409703314304352,0.49306994676589966,0.20639494061470032,0.2109387218952179,0
nta,Greenwich Village,MN0202,0.1703065037727356,0.02066723257303238,0.0037668554577976465,0,0.45454084873199463,0.16436024010181427,0.18635836243629456,0
nta,West Village,MN0203,0.17486751079559326,0.01831648498773575,0,0.008991347625851631,0.40875688195228577,0.17545612156391144,0.21361160278320312,0
nta,Chinatown-Two Bridges,MN0301,0.18499872088432312,0.02735380455851555,0.0025074563454836607,0.0013399992603808641,0.296770840883255,0.23318599164485931,0.25384321808815,0
nta,Lower East Side,MN0302,0.24302677810192108,0.04907232150435448,0.0029510220047086477,4.3261624523438513e-4,0.2467758059501648,0.20319901406764984,0.2531398832798004,0.001402546069584787
nta,East Village,MN0303,0.22089281678199768,0.03803272172808647,0.001845814287662506,0.001731181750074029,0.34755098819732666,0.15567639470100403,0.2342700958251953,0
nta,Chelsea-Hudson Yards,MN0401,0.10592923313379288,0.03049606643617153,2.4292169200634817e-6,0.0010236824164167047,0.41485893726348877,0.19017450511455536,0.24091510474681854,0.01660003326833248
nta,Hell's Kitchen,MN0402,0.10277211666107178,0.011576075106859207,8.296009355035494e-7,0.0010510782012715936,0.46348851919174194,0.1975822001695633,0.2220190018415451,0.0015102000907063484
nta,Midtown South-Flatiron-Union Square,MN0501,0.05326332151889801,0.00814914982765913,0.0021421336568892,0,0.5280484557151794,0.19539184868335724,0.21300509572029114,0
nta,Midtown-Times Square,MN0502,0.03251185268163681,0.006637552287429571,0,0,0.5489756464958191,0.20930030941963196,0.20257462561130524,0
nta,Stuyvesant Town-Peter Cooper Village,MN0601,0.37841227650642395,0.04999871924519539,0.002889751922339201,0.0017702168552204967,0.20250199735164642,0.15532098710536957,0.20910602807998657,0
nta,Gramercy,MN0602,0.15204019844532013,0.010910565964877605,0,0,0.46060287952423096,0.18320852518081665,0.19323782622814178,0
nta,Murray Hill-Kips Bay,MN0603,0.1451277732849121,0.026420993730425835,0.003076233435422182,9.863076265901327e-4,0.3919961750507355,0.21658745408058167,0.21580509841442108,0
nta,East Midtown-Turtle Bay,MN0604,0.1177535131573677,0.008472851477563381,0,3.0823389533907175e-4,0.4788839817047119,0.2005135864019394,0.19406786561012268,0
nta,United Nations,MN0661,0.1402665376663208,0.0792384147644043,0,0.008211973123252392,0.2458457499742508,0.12472793459892273,0.4017094373703003,0
nta,Upper West Side-Lincoln Square,MN0701,0.1594717651605606,0.04930173233151436,0.0011541713029146194,6.666569388471544e-4,0.3820228576660156,0.18049374222755432,0.22688816487789154,9.020470770337852e-7
nta,Upper West Side (Central),MN0702,0.2704135775566101,0.03511583432555199,0.0015037960838526487,2.134142559953034e-4,0.35086363554000854,0.1511409878730774,0.19074876606464386,0
nta,Upper West Side-Manhattan Valley,MN0703,0.3000180721282959,0.040256425738334656,3.6029043258167803e-4,5.298277828842402e-4,0.2846953868865967,0.1505928784608841,0.22354717552661896,0
